ts,record_id,user_authority,user,direction,base_asset_amount,quote_asset_amount,mark_price_before,mark_price_after,fee,referrer_reward,referee_discount,token_discount,liquidation,market_index,oracle_price
2022-03-10 09:55:38-05:00,5351348,7ZVPidz43dLjX2GZp3Yqu1jbmDqA5qtSiWkY8f6VXfLP,8aWL3kVkJNcKuE9gkcrGf8Ewr7gv9ZKJdueBBjvfWkKH,PositionDirection.Long(),309820503447652,872383989,281556959421,281597500372,872383,0,0,0,False,7,281387930000
2022-03-10 09:55:39-05:00,5351349,BbjJgdGNyEZ3xfCCZVMQwKwpjA4AxPC9fAuAxdqiH7CG,88WGF4Y4GF1VYpv8zRJZdxmmSAwrqAZrdbo7KnAD4dU9,PositionDirection.Long(),30788359939442546,2271000000,7373869515,7378459705,2271000,0,0,0,False,10,7349880100
2022-03-10 09:55:39-05:00,5351350,BbjJgdGNyEZ3xfCCZVMQwKwpjA4AxPC9fAuAxdqiH7CG,88WGF4Y4GF1VYpv8zRJZdxmmSAwrqAZrdbo7KnAD4dU9,PositionDirection.Long(),207929279462117,2131000000,1024609424015,1025126017950,2131000,0,0,0,False,12,1023866720000
2022-03-10 09:55:39-05:00,5351351,39aCtgqAVeg2GKp85ZNdL3iJB3H9uNak4PdTTHDz23zk,GvLrBW8wwKJZ6CZnyjvmtPMnfjWj9bdAjxJZ7iVQJbwo,PositionDirection.Long(),500000000000000,4116594820,823166882068,823471073800,4116594,0,0,0,False,0,821666220000
2022-03-10 09:55:40-05:00,5351352,7ZVPidz43dLjX2GZp3Yqu1jbmDqA5qtSiWkY8f6VXfLP,8aWL3kVkJNcKuE9gkcrGf8Ewr7gv9ZKJdueBBjvfWkKH,PositionDirection.Long(),79773551221345,656931483,823471073800,823519622307,656931,0,0,0,False,0,821666780000
2022-03-10 09:55:40-05:00,5351353,Ca5Y8qCUvYfcayjUqJhTocNsfW2SiMEBy6oH5CWKt9Sr,Fe6M8t9bvS5EbcYFF1j3WHavbYEHaCkhXodG2HaNHaV6,PositionDirection.Long(),10679941991,103994,973731877184,973731884060,103,0,0,0,False,3,976835380000
2022-03-10 09:55:40-05:00,5351354,AnsdDByYT8ZF1gUtB9wbdDM9aPb4pbe5msnhJSMcyyPP,268YXLhoGGQfZcEqcM3bCQCf31vopnt2JybPxa36aMNP,PositionDirection.Long(),4895688624354093,698506342,14266895141,14268675518,698506,0,0,0,False,6,14249873000
2022-03-10 09:55:45-05:00,5351355,F5BMRPmj54MmKRvmmhYETmfyhBYjiJo3qzM5YZpQnCup,7gWxZS93DXQCTxwvynyyArkSzGdcDyHZXNDyLmXN4JaH,PositionDirection.Long(),151286163339469,12146501,8028812825,8028836772,12146,0,0,0,False,9,8015000800
2022-03-10 09:55:45-05:00,5351356,AcrAf5aJmJBxsSYGywSucEXU5Lw7xz1bxqHG2RiBNuqX,8bNgszva9WwD8JzcFezPj2hWvHNNAfdNoncAuEsgvSXT,PositionDirection.Long(),8279343670420250,1181477349,14268675518,14271687162,1181477,0,0,0,False,6,14249667400
2022-03-10 09:55:45-05:00,5351357,9JZBFFR9zPs12gdwr1bQfm6dNogbzJA1e4VjkuDdFPCT,22voQuaMVuZMh1J21QHjPth5oVyAgGJV53uRsXauAsC9,PositionDirection.Long(),1501989661437,389226186,25912166930173,25915911119687,389226,0,0,0,False,2,25908463800000
2022-03-10 09:55:46-05:00,5351358,F5BMRPmj54MmKRvmmhYETmfyhBYjiJo3qzM5YZpQnCup,7gWxZS93DXQCTxwvynyyArkSzGdcDyHZXNDyLmXN4JaH,PositionDirection.Long(),106781974422742,300702832,281597500372,281611475146,300702,0,0,0,False,7,281349380000
2022-03-10 09:55:47-05:00,5351359,DXgo3PMFzUTdvW8xrj7w8Ks7L9XGK7VRVbM748pisja3,5MXwPXQC9jbFQf51EDa9sbtiuQhGWESmrLNhud4P7hBB,PositionDirection.Long(),59929812456872,614400736,1025126017950,1025274984267,614400,0,0,0,False,12,1024176060000
2022-03-10 09:55:48-05:00,5351360,D5RCk5NfTVHEqgrrhNXgLrXQDzdnUmPiGXuLccaECLvp,AA6gh2EZyDTAxUnv1B6ZFynH6t5C2TMZptc9Vkrvx47u,PositionDirection.Long(),281769932773220,793548422,281611475146,281648355944,793548,0,0,0,False,7,281344030000
2022-03-10 09:55:48-05:00,5351361,D5RCk5NfTVHEqgrrhNXgLrXQDzdnUmPiGXuLccaECLvp,AA6gh2EZyDTAxUnv1B6ZFynH6t5C2TMZptc9Vkrvx47u,PositionDirection.Long(),180708183069545,1759718324,973731884060,973848239041,1759718,0,0,0,False,3,976739400000
2022-03-10 09:55:48-05:00,5351362,DXgo3PMFzUTdvW8xrj7w8Ks7L9XGK7VRVbM748pisja3,5MXwPXQC9jbFQf51EDa9sbtiuQhGWESmrLNhud4P7hBB,PositionDirection.Long(),19974669109022,204800245,1025274984267,1025324642111,204800,0,0,0,False,12,1024176060000
2022-03-10 09:55:48-05:00,5351363,FgxTXM14VNSQAP42SUsikZedphCcvvjZXNKgneXtDnXW,9J7RrTQY7jjtdbF8xfraYtbjJvRk8D2x3ADVu3NyBWWd,PositionDirection.Long(),285981976402544,484139361,169279497095,169300834470,484139,0,0,0,False,8,168949708000
2022-03-10 09:55:49-05:00,5351364,AcrAf5aJmJBxsSYGywSucEXU5Lw7xz1bxqHG2RiBNuqX,8bNgszva9WwD8JzcFezPj2hWvHNNAfdNoncAuEsgvSXT,PositionDirection.Long(),151836800891740,1106277300,728553594590,728638990346,1106277,0,0,0,False,4,727743700000
2022-03-10 09:55:54-05:00,5351365,F5BMRPmj54MmKRvmmhYETmfyhBYjiJo3qzM5YZpQnCup,7gWxZS93DXQCTxwvynyyArkSzGdcDyHZXNDyLmXN4JaH,PositionDirection.Long(),99265486418348,279586060,281648355944,281661350505,279586,0,0,0,False,7,281340470000
2022-03-10 09:55:55-05:00,5351366,F5BMRPmj54MmKRvmmhYETmfyhBYjiJo3qzM5YZpQnCup,7gWxZS93DXQCTxwvynyyArkSzGdcDyHZXNDyLmXN4JaH,PositionDirection.Long(),9541302581666030,704069067,7378459705,7379883073,704069,0,0,0,False,10,7350461300
2022-03-10 09:55:57-05:00,5351367,7ZVPidz43dLjX2GZp3Yqu1jbmDqA5qtSiWkY8f6VXfLP,8aWL3kVkJNcKuE9gkcrGf8Ewr7gv9ZKJdueBBjvfWkKH,PositionDirection.Long(),80433609278267,662406243,823519622307,823568576858,662406,0,0,0,False,0,821743880000
2022-03-10 09:55:57-05:00,5351368,AcrAf5aJmJBxsSYGywSucEXU5Lw7xz1bxqHG2RiBNuqX,8bNgszva9WwD8JzcFezPj2hWvHNNAfdNoncAuEsgvSXT,PositionDirection.Long(),30537281641116,4358187,14271687162,14271698272,4358,0,0,0,False,6,14246860300
2022-03-10 09:55:58-05:00,5351369,4ujVHxUpCBvoCZch6AGMkyfJPUrhWvuP45iucYpLR2No,45ALv9UKG881tbdJmA1keJziuAGugL5jNSv6LTXUDVXA,PositionDirection.Long(),107235135846684,435902500,406473417711,406511052397,435902,0,0,0,False,11,405208090000
2022-03-10 09:56:01-05:00,5351370,FgxTXM14VNSQAP42SUsikZedphCcvvjZXNKgneXtDnXW,9J7RrTQY7jjtdbF8xfraYtbjJvRk8D2x3ADVu3NyBWWd,PositionDirection.Long(),1255675487255341,92668559,7379883073,7380070425,92668,0,0,0,False,10,7352302900
2022-03-10 09:56:03-05:00,5351371,F5BMRPmj54MmKRvmmhYETmfyhBYjiJo3qzM5YZpQnCup,7gWxZS93DXQCTxwvynyyArkSzGdcDyHZXNDyLmXN4JaH,PositionDirection.Long(),5429709357008178,435965836,8028836772,8029696307,435965,0,0,0,False,9,8015000000
2022-03-10 09:56:03-05:00,5351372,F5BMRPmj54MmKRvmmhYETmfyhBYjiJo3qzM5YZpQnCup,7gWxZS93DXQCTxwvynyyArkSzGdcDyHZXNDyLmXN4JaH,PositionDirection.Long(),99995257761,281648,281661350505,281661363595,281,0,0,0,False,7,281497600000
2022-03-10 09:56:06-05:00,5351373,7ZVPidz43dLjX2GZp3Yqu1jbmDqA5qtSiWkY8f6VXfLP,8aWL3kVkJNcKuE9gkcrGf8Ewr7gv9ZKJdueBBjvfWkKH,PositionDirection.Long(),243008021606,2366530,973848239041,973848395524,2366,0,0,0,False,3,976646570000
2022-03-10 09:56:06-05:00,5351374,AcrAf5aJmJBxsSYGywSucEXU5Lw7xz1bxqHG2RiBNuqX,8bNgszva9WwD8JzcFezPj2hWvHNNAfdNoncAuEsgvSXT,PositionDirection.Long(),108995414402401,794216499,728638990346,728700300590,794216,0,0,0,False,4,728341250000
2022-03-10 09:56:08-05:00,5351375,FgxTXM14VNSQAP42SUsikZedphCcvvjZXNKgneXtDnXW,9J7RrTQY7jjtdbF8xfraYtbjJvRk8D2x3ADVu3NyBWWd,PositionDirection.Long(),3457897037097,5854253,169300834470,169301092492,5854,0,0,0,False,8,168964595000
2022-03-10 09:56:08-05:00,5351376,D5RCk5NfTVHEqgrrhNXgLrXQDzdnUmPiGXuLccaECLvp,AA6gh2EZyDTAxUnv1B6ZFynH6t5C2TMZptc9Vkrvx47u,PositionDirection.Long(),114996921325019,323910553,281661363595,281676418639,323910,0,0,0,False,7,281497600000
2022-03-10 09:56:08-05:00,5351377,AnsdDByYT8ZF1gUtB9wbdDM9aPb4pbe5msnhJSMcyyPP,268YXLhoGGQfZcEqcM3bCQCf31vopnt2JybPxa36aMNP,PositionDirection.Long(),3199866994898073,456693989,14271698272,14272862492,456693,0,0,0,False,6,14250525300
2022-03-10 09:56:08-05:00,5351378,ApJe8mDi3REoFMrsJLZJVAGfVbBK1iBhki4HRZZQkW9,E2EXhQ5J2yo4A199Di1yjTaXUvKefLXjjySyrkmq66gJ,PositionDirection.Long(),5431286976331,200978300,3700317747685,3700443836262,200978,0,0,0,False,5,3678395300000
2022-03-10 09:56:08-05:00,5351379,HRzDJVgzQH4oxmwfXw163NmQkZBFbFVK4w8HZVr9gUi5,6zMmKu29zPxzPeZLXBMV8CTdvkeqW1PECyHmPBsYH1QF,PositionDirection.Long(),449954310691744,3279387968,728700300590,728953483157,3279387,0,0,0,False,4,728460980000
