ts,record_id,user_authority,user,market_index,funding_payment,base_asset_amount,user_last_cumulative_funding,user_last_funding_rate_ts,amm_cumulative_funding_long,amm_cumulative_funding_short
2022-03-13 20:07:09-04:00,318534,DnG3qNVMm7BR6KnSVAgozQ9CtKi1qVgtBxPZNUx2SrZK,4GHmhDdBdJgrVmM3T2A8tsQVhzoRTfUBf1kvkbwh8TGR,9,256162252975,-5009483039990725,1742106055298,1647212409,1747219601964,1747219601964
2022-03-13 20:07:09-04:00,318535,DnG3qNVMm7BR6KnSVAgozQ9CtKi1qVgtBxPZNUx2SrZK,4GHmhDdBdJgrVmM3T2A8tsQVhzoRTfUBf1kvkbwh8TGR,10,916315889188,-20002044027814955,2410380829048,1647212400,2414961940298,2414961940298
2022-03-13 20:07:09-04:00,318536,DnG3qNVMm7BR6KnSVAgozQ9CtKi1qVgtBxPZNUx2SrZK,4GHmhDdBdJgrVmM3T2A8tsQVhzoRTfUBf1kvkbwh8TGR,3,-2969256775,-825040484178,-309902265308631,1647212414,-251264938768719,-310262157560297
2022-03-13 20:07:09-04:00,318537,DnG3qNVMm7BR6KnSVAgozQ9CtKi1qVgtBxPZNUx2SrZK,4GHmhDdBdJgrVmM3T2A8tsQVhzoRTfUBf1kvkbwh8TGR,8,1827673,-2796605157,94092985868354,1647212402,174605454771449,94158339170854
2022-03-13 20:07:09-04:00,318538,DnG3qNVMm7BR6KnSVAgozQ9CtKi1qVgtBxPZNUx2SrZK,4GHmhDdBdJgrVmM3T2A8tsQVhzoRTfUBf1kvkbwh8TGR,7,1179551689,-689276607778,262512548642314,1647212401,265133822137622,262683677573147
2022-03-13 20:07:19-04:00,318539,FBxY2hT5ewhngmnCedjEhwFXupse5k4mwm3EvdTKi81d,5rs8XB6qgAN8zc1wVQWBGifq8fHbELPJpNp1nAKkY8VE,4,51199528558266,-17669400000000000,100299804354819,1647212404,267196998837409,100589568175652
2022-03-13 20:07:19-04:00,318540,FBxY2hT5ewhngmnCedjEhwFXupse5k4mwm3EvdTKi81d,5rs8XB6qgAN8zc1wVQWBGifq8fHbELPJpNp1nAKkY8VE,3,1563731833488,434500000000000,-250905046517053,1647212414,-251264938768719,-310262157560297
2022-03-13 20:07:19-04:00,318541,FBxY2hT5ewhngmnCedjEhwFXupse5k4mwm3EvdTKi81d,5rs8XB6qgAN8zc1wVQWBGifq8fHbELPJpNp1nAKkY8VE,0,6824540153480,-3302000000000000,496088184883294,1647212412,1567724573766603,496294863870377
2022-03-13 20:08:19-04:00,318542,E2vM6cDgDhuWUx5NjTP75TyZoJFENBxLVfe2w9JQRnw7,HFuAHNxGR29MGwtrvQmrdsNWB1WLr6nzReULFaEr5XEd,2,526041641637,-4149371938622,39793582046958958,1647208802,50362993859060205,39806259667799374
2022-03-13 20:08:19-04:00,318543,E2vM6cDgDhuWUx5NjTP75TyZoJFENBxLVfe2w9JQRnw7,HFuAHNxGR29MGwtrvQmrdsNWB1WLr6nzReULFaEr5XEd,4,1318344018821,-199936974434861,99930188377319,1647208802,267196998837409,100589568175652
2022-03-13 20:08:19-04:00,318544,E2vM6cDgDhuWUx5NjTP75TyZoJFENBxLVfe2w9JQRnw7,HFuAHNxGR29MGwtrvQmrdsNWB1WLr6nzReULFaEr5XEd,5,1738994241744,-22096403766806,1674084811135547,1647209469,3311504196469344,1681954844015546
2022-03-13 20:08:19-04:00,318545,E2vM6cDgDhuWUx5NjTP75TyZoJFENBxLVfe2w9JQRnw7,HFuAHNxGR29MGwtrvQmrdsNWB1WLr6nzReULFaEr5XEd,3,1056143839855,155170977721572,-250584306439553,1647208823,-251264938768719,-310262157560297
2022-03-13 20:09:52-04:00,318546,5ajGMADkyU2nRb7UeNtNet1XpMPFAsbfsWAJmTjGb2dc,CnVcuXw8Bukq1kLTVfxryBctJqZdne3oSZxDBWtHsDga,10,27134639398109,-592315661360762611,2410380829048,1647212400,2414961940298,2414961940298
2022-03-13 20:09:52-04:00,318547,5ajGMADkyU2nRb7UeNtNet1XpMPFAsbfsWAJmTjGb2dc,CnVcuXw8Bukq1kLTVfxryBctJqZdne3oSZxDBWtHsDga,8,3435954885727,-5257507661113157,94092985868354,1647212402,174605454771449,94158339170854
2022-03-13 20:09:52-04:00,318548,5ajGMADkyU2nRb7UeNtNet1XpMPFAsbfsWAJmTjGb2dc,CnVcuXw8Bukq1kLTVfxryBctJqZdne3oSZxDBWtHsDga,12,5475333528627,-997910388927735,96490233671367,1647212401,111427332961218,97038913551783
2022-03-13 20:10:01-04:00,318549,2zHutfC4xpEDMHq1nG8ewBfhFDuphEX9KsKgDaVmdbSM,4d1V59ZrgW1mxsLj5ndfKb2Q8ybQfFwePMgepnRrKEgt,0,63330816914253,-30642116940906341,496088184883294,1647212412,1567724573766603,496294863870377
