,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
65,5W4K1v3mb9SzQXYyjBcm12HzmETzWipUh3bxg9AjpEB8,2NLpTXeLy88dKyzRBhF2RwTg9CTAYNo8jDktBcPc2wXJ,,,,,,
66,Bk75oioYmUzfdpbxDHTFb2nWhJgNqAt8ud1ehem3VVhh,GRqv7y5n92vQ7bXcBqUng4vaau6w1tQeou953s8kJNwD,,,,,,
67,7j7Tbh4xfPqqFFaaQYqhUocvBu8wwE16Ss76vMuS7k8p,6uKh79Z19mr9jrakChHQVjyoG6FVwGBetHxiaynicwRb,,,,,,
68,HdFc6xoz9xTuSh2AyF8oWS7BP7uoriBM5sAxsrsR7Ygs,8NhWNE2yKpfKc9igSkY3UtKd8DKSqVPDcdtfyNL24UZr,0.0,1.0,5.08,0.000101459354,4377.581968637173,50069.31149985441
69,AdPbTMGr5zF3tWaK6B1sgmRVWvpaSabCE5obt39WZnCq,9cPVwkyon19mgzurhjYupLXJtK8BZDrUSKkef7iynqrZ,,,,,,
70,3gysitVS2DyQ6sucWiJVEr7tQWsKx574A2Yr6iMEpEnS,GPi1BpS2eJqmsSaH3tYss1YZb1xNcopEvCQ4x6Q4c1ML,,,,,,
71,EjfMz4EpXyZgWtGdZS2s9r7NqY9xzuZCoJbgSmWN1wiW,D7sBHsC5o9SdnXbPNhmMLArBNmu8jv1ZTbVnayKxWauK,,,,,,
72,F2iAcvV7zcNzbNGHM8nUnAZHGQWxswibUovXDWB57uyq,7VwvUgr8gzosrsYKjqKg3nUjQD6qkof3QSAGPAn3zfE5,,,,,,
73,3Zf2uGkc32dUsgP3XweVk3bESGMXgLsCFinqVTEWHnB4,2r2LgKoq3tHdr4RwKdLbqBu2XpuQwoPoP2TJuGyQb4Z4,,,,,,
74,DdoegKd6nEoX385sxZtbMWCEUftL9mHVkkQgG1ywdKGh,3t7w8ABEfDYRKp5fLeTJF2jGKWPkgYifD63jSYbvrLrw,,,,,,
75,7C6TkYCa94iWXJXx6ZA4MH57enza3gK2yfmvJwEckKs5,4VWMj2hCNgLADqQdEkTp4gdyi7bhHrSV6xgeVwo1ELum,,,,,,
76,EMou6rMZJ77tV3progKkQp6azLf4Tnsdy75rrPbQJYcL,5WZAQSpNsNa8s3R39G5KyiuRed9HMuFTWaXf2y6XxRg5,,,,,,
77,J5Ggrxo4Y7VM6ZaGCe2g9T2xQuWnK1TXGHDrzyUiH12N,FXU4aWwiAfLcWAohQmE32uVVXT1jjE8GeNgxFtmuLkZu,,,,,,
78,Gtw9PPrE1FXhAYnfLS8ysRgv5DkTkTc2voH1iwAfR45v,4ovQ4oENVShgAixWjG1z3YnmTbJQTDZWEWaRdNmpYXGP,,,,,,
79,BmGpikMhQAm4fNJ24VCsgixoMBCjL5d9Lut2oiovhZwh,EV1jndTEhcxMZwNNVmCWAr7yxC7zACM4GiCAsHKesy8z,,,,,,
80,8fAaiyWxaPzoxa6jskwusE3FEuegd2rrvmVN8ePbV87r,71FAvHzJQHv314nYMKGoM4t9i8sLpP41sA2QXvo1odnf,,,,,,
81,AP4egDzjhZPbmmUwnZHAfc4LK2QL7EpMCXa2SZq2w9Pv,4Rgn87vgpfuyFuV8tbjJhTy1wwtVcaRMtpN6KbnUET6L,,,,,,
82,5CNqdS8GHzGLFhkqeihvxEhxEHXCNJq49WDwXPfeDtx2,BbSrfhLw7F4xT3XMGSmJyLdx7bvhyrtXuFV9Bgx1zqv8,,,,,,
83,GLtj5DGjiAHCHiGqLDt8n1Z7W2kRXGw6tAVFSUbV6ums,8EnFNRttcooSmtJ3MPbsYCnSCFHkyKbxp8hVWS4udusN,,,,,,
84,EoEpuQDuDBHpvRGCGsHwA5YgGAw7d6mACRKkP944uaZu,85Gu9F1sgoBFvjZ9gqaydUaJy8aGevJadgtwKhwiytAH,,,,,,
85,3S6BQhc4y3XiqyYHZzDhRrE14T6pXqn8NpA2uCfhd1S6,3mUXCSLFWcwEuXhrWFxvQx2B2GXFiGeMJBrAv9NYg4Re,,,,,,
86,7ZFv5ms4HzVKiw7KgE8RUoKxW9rB6JUD7ujZxMx4DwnM,6BQVtmNsxihi4PcA7MurtguTwa6SmbmKyP14RHyjVZkf,0.0,0.0,20.8,-0.2126408386881,3.27397057089287,97.81752239281414
87,FFLpPHPuj5QVcgyQ1ZDJoaeQ3VwZTHZchgX6HHWPNb9z,BoEGtiKVXyfivSA72oCgD3VM2xucvEpek9RCBWTi9tV6,,,,,,
88,BKYzs5do9aSbgSUBsZxNeRBcthtczGHcpNRKsQH8B4wf,3WyjNRSwrLhLZnAesrTeY5RRyuNA5SCCT7HrE6UZEQZo,,,,,,
89,3AvVGvB3r4sHa3QqftWFPacBWTbe7fnLj95FEyBGuzvs,7sk3qaJUTVXZX2fsuHC2LiXS7UEcct7r3zLRSE4jgjMq,,,,,,
90,8BhY7VCAMLKuXN2pxRp72UzYr9tFDri8LunejDZBLGzt,CyLRgnuTepFTw82x6WkxsKWwg9omfrMs2oPwsobBPt2M,0.0,0.0,49.99,0.258796093,-1.37524073659583,193.16365800004561
91,DjHD3jawBVikzjcQ5dXBRLdUmEeBHKt6JZLhvmjScDku,BSDeCyJsPs6y1pbDVHNq5rs6tdxcrbY3NDjXPBxwRjHz,3.0,2.0,360.76,0.125,512.6284858806432,2886.08
92,A4pyqzVSbuBfUmqsPngFL4CFxiJkGeVCYeUj9Xc8kE2t,DNTf8QJtCM9nQvYGNjraKJ2xMWQuoC5anTQvG7D4ygGu,,,,,,
93,D1VvpQEEVcedkiUpg4rcWWi2ztTMaGv9aXjrVaYwWUXK,43sR8DAzJsEWmMqiCiqGsgztvH3GCGS3U2y9mJcJhwgN,,,,,,
94,3rgzs45n28XbSoP8RiCLtCtCSggugMM2XhG5Gdae1ko2,9CWf8F64B5VQkmiCnK4wAPU7tNdBKWfQ3hvsmGqFVCEv,0.0,0.0,1.0,0.0048884438531,-3.1534832019872,204.56407602305822
95,7BDLXMT32bq5VQy3KcVjfSCkVY84Wy6WfEHr6GMHEHQm,7tJwRNiNqDcbKrejrHCKXBtUTpmTq2SxeYbcfiut1Bet,,,,,,
96,Ep5XcJYDPUzFSumXkwRsnN1j7zBBHdWso3NpvVtGYeKj,24GYCcr1RNW2f12ri7Vfo2Y9M3xCpxDHnm9C6yxrxv4s,,,,,,
97,9gz5rL48Uu3LhBp31LoEN3cVtPEBwaDEQzPuR45PStSS,G8qxzLkg9SaPzwGJZSrtATJNdzeQfES6nXQW5LgdNiPm,0.0,0.0,2.5,0.0262147907461,14.00870202208427,95.36601013578289
98,CGKQ7XUueEC43tbEeBiFmWDTcZbUGNW6gNo7cFFUMT3S,DQDWqotfi2CYstGnPTAFie26Mjq44u2hRcNwYPLzS1qm,,,,,,
99,5srJ3buymJ29CH8uLQkUBasGKF4ADXim92QMqLbAdgwS,FWZvUkTWPpdm5ob7W16Zpd97424ELgjMCNfeVvQJH9mZ,0.0,0.0,16.0,0.0995421893901,1.40755168725366,160.7358658477657
100,3CmWH8eYtkmHNisqMmMBLff6C6z6ZcSj38KoQ34DPUE7,8YMEydGnQH9W5AEXFGquFkb1bcf3PcxiMvYBSMPXKJyQ,0.0,0.0,0.03,0.0001466165464,14.56596110357949,204.61537757241837
101,3rHf2q775Q7rcAgmSM4e41nQ64c2f8ajttbpE6k5BNj8,6NMS9UEn8nc9Y26GFrNFQ6KooZqCXV8atcjNZPiZtNrm,,,,,,
102,5WoF3gkgygyNNbwxWgVfqGWkExcDixuzgJQQjXEZQ6J5,3njiRuSRMXRzKmamyiR72Hc38PU8UDDmWdfPhgxmGxEW,,,,,,
103,5GxNcZheuMLg4SY675gGwNjaFkenpXEf1rtefC8mVJaN,2FXoeBXPRHZkonhYVDzt3Y5UiKFg4ynnjTQg7Dsew8mA,,,,,,
104,U4QsHnTpi6AszBATDv8oTyh74K7hsiC6johGq87eVqh,5FFFZQMvm28iLcXfxvcnEY84w2JBrh2RCitqMajxAaba,,,,,,
105,5UWjQUk8ny7pv6ibaUcjWvmsvWYh4qhNMBEYAzzWxC29,EaWAbfZ1RkTmCxd8pgoNAK3CQXzcvaC4GBekxo7drcq8,,,,,,
106,A6NSw5HGCy13xjE5EByhCLRSJ1Kro5rKrR9sjNeKpAwV,DeRzsmjo84xcjPUr4EXn6z6XdevgyPxwgN5nPP1sAoEy,,,,,,
107,CQZkWXLTV4Z8uHE974CNop82V5DP5qBVEak2C4wkiPaY,8D9ueJoN1cRJQMbqsGz3pXAhVWygrwMen2epEX735qJa,,,,,,
